Aluno
Rogério da Silveira
Ramna Baro
Edmundo Brumana
Durval Magalhães
Eric e Almeida
Deonilde Jacoboski
Bonifácia Bassos
India Furian
Ninfa Chiaradia
Irene Mosquini
Jamila Giobini
Adriel Patricio
Joelma Lorenzoni
Eloy Lanes
Apollo Pantaroto
Hermes Ferraco
Jorge Pastore
Vera Lis Tedesco
Lucílio Lorenzini
Beanina Alenquer
Carlo Orsato
Remédios Guerini
Brígida Marquette
Adelmo Blanco
Isaac Alfarenga
Onófria Roriz
João Bellè
Éola Gasparotto
Evangelista Santori
Beto Brisot
Orósio Carvalhido
Bonifácio Pantaroto
Leonete Vicente
Rosina Mattar
Martiniano Peixoto
Durbalino Montemor
Felicidade do Rosário
Elisiário São Pedro
Talita Rozario
Eloisa Meirelles
Evelin Sant'Anna
Naraiana Branch
Salete Gago
Sereno Joensdatter
Expedito Buffo
Mécia Milanez
Mila Bolzan
Anastácia Zambon
Lisandra Fachini
Nominanda George
